"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-13","77","H,,S","84",",,W","72",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-14","76","H,,S","80",",,W","73",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-15","77","H,,S","82",",,W","73",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-16","73","H,,S","79",",,W","66",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-17","72","H,,S","80",",,W","67",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-18","76","H,,S","83",",,W","73",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-19","80","H,,S","89",",,W","75",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-20","85","H,,S","95",",,W","79",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-21","84","H,,S","89",",,W","76",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-22","80","H,,S","89",",,W","72",",,W"
